"G","R","variance","beta","alpha","c1","c2","total_cost"
35,21,0.101566854435134,1,0,10,5,3850
35,20,0.101566854435134,1,0,10,5,3675
35,19,0.101566854435134,1,0,10,5,3500
40,399,0.088465249947486,1,0,10,5,80000
40,199,0.088465249947486,1,0,10,5,40000
40,132,0.088465249947486,1,0,10,5,26600
40,99,0.088465249947486,1,0,10,5,20000
40,79,0.088465249947486,1,0,10,5,16000
40,65,0.088465249947486,1,0,10,5,13200
40,56,0.088465249947486,1,0,10,5,11400
40,49,0.088465249947486,1,0,10,5,10000
40,43,0.088465249947486,1,0,10,5,8800
40,39,0.088465249947486,1,0,10,5,8000
40,35,0.088465249947486,1,0,10,5,7200
40,32,0.088465249947486,1,0,10,5,6600
40,29,0.088465249947486,1,0,10,5,6000
40,27,0.088465249947486,1,0,10,5,5600
40,25,0.088465249947486,1,0,10,5,5200
40,24,0.088465249947486,1,0,10,5,5000
40,22,0.088465249947486,1,0,10,5,4600
40,21,0.088465249947486,1,0,10,5,4400
40,20,0.088465249947486,1,0,10,5,4200
40,19,0.088465249947486,1,0,10,5,4000
45,399,0.0991164234724801,1,0,10,5,90000
45,199,0.0991164234724801,1,0,10,5,45000
45,132,0.0991164234724801,1,0,10,5,29925
45,99,0.0991164234724801,1,0,10,5,22500
45,79,0.0991164234724801,1,0,10,5,18000
45,65,0.0991164234724801,1,0,10,5,14850
45,56,0.0991164234724801,1,0,10,5,12825
45,49,0.0991164234724801,1,0,10,5,11250
45,43,0.0991164234724801,1,0,10,5,9900
45,39,0.0991164234724801,1,0,10,5,9000
45,35,0.0991164234724801,1,0,10,5,8100
45,32,0.0991164234724801,1,0,10,5,7425
45,29,0.0991164234724801,1,0,10,5,6750
45,27,0.0991164234724801,1,0,10,5,6300
45,25,0.0991164234724801,1,0,10,5,5850
45,24,0.0991164234724801,1,0,10,5,5625
45,22,0.0991164234724801,1,0,10,5,5175
45,21,0.0991164234724801,1,0,10,5,4950
45,20,0.0991164234724801,1,0,10,5,4725
45,19,0.0991164234724801,1,0,10,5,4500
50,399,0.106246602363689,1,0,10,5,1e+05
50,199,0.106246602363689,1,0,10,5,50000
50,132,0.106246602363689,1,0,10,5,33250
50,99,0.106246602363689,1,0,10,5,25000
50,79,0.106246602363689,1,0,10,5,20000
50,65,0.106246602363689,1,0,10,5,16500
50,56,0.106246602363689,1,0,10,5,14250
50,49,0.106246602363689,1,0,10,5,12500
50,43,0.106246602363689,1,0,10,5,11000
50,39,0.106246602363689,1,0,10,5,10000
50,35,0.106246602363689,1,0,10,5,9000
50,32,0.106246602363689,1,0,10,5,8250
50,29,0.106246602363689,1,0,10,5,7500
50,27,0.106246602363689,1,0,10,5,7000
50,25,0.106246602363689,1,0,10,5,6500
